sr_no,movie_id,movie_name,year,genre,overview,director,cast,language
2294,tt1851841,Aaghaat,2010,Drama,A young medical student fights against negligence done by senior and powerful doctor,"Vikram Gokhale, Ankur Arun Kakatkar","Shashank Shende, Mukta Barve, Vikram Gokhale",marathi
2295,tt8621438,Anandi Gopal,2019,Biography,"In the 19th century, Anandi Joshi, a young girl, goes through several challenges to become one of India's first female physicians with the help of her husband, Gopalrao Joshi.",Sameer Vidwans,"Bhagyashree Milind, Lalit Prabhakar, Sonia Albizuri",marathi
2296,tt0342672,Lapandav,1993,Comedy,Lapandav is a sweet and sour tangle of relationships which is further complicated due to misunderstandings.,Shrabani Deodhar,"Vandana Gupte, Ashok Saraf, Vikram Gokhale",marathi
2297,tt0258386,Aaj Jhale Mukt Mi,1986,"Crime, Drama, Thriller","After his father Bhaskar Balwant Mahajan loses his mental balance, Shrikant and his mother live a poor lifestyle near Sundernagar, which is managed and looked after by kind-hearted nobleman Mansinghrao Jagirdar. He relocates for further studies, meets a young woman, Pooja, who suffers from anxiety neurosis, and they fall in love. He arranges to get her hired as a teacher in the school in his village, and she relocates to live in their house. Shortly after her arrival, she starts to behave strangely, has hallucinations, often passes out, and at times refuses to recognize Shrikant and claims that she is already married. Shrikant arranges for her to be medically treated, and the doctor's prognosis does not look promising. This mystery illness of his sweetheart deepens and gets complicated even more after Pooja uncovers human skeletal remains near their residence.",Rajdutt,"Bharti Achrekar, Snehlata Bhayande, Juhilee Dehuskar",marathi
2298,tt0436165,Chaukat Raja,1991,Drama,A family takes a person with disabilities under their wing and encourages him to develop his skills while the family members deal with their own instabilities.,Sanjay Soorkar,"Nayana Apte, Rajasi Bhaire, Sulabha Deshpande",marathi
2299,tt0028815,Kunku,1937,Drama,"Neera is trapped into marrying an old widower Kakasaheb. Neera refuses to consummate the union claiming that while suffering can be borne, injustice cannot. Neera faces many hurdles.",Shantaram Rajaram Vankudre,"Shanta Apte, Keshavrao Date, Vimala Vasishta",marathi
2300,tt2645086,Bala Gau Kashi Angai,1977,Drama,"Unrequited emotion, madness, loss, and sacrifice all play a role in this harrowing story of a love triangle.",Kamalakar Torne,"Raja Bapat, Vatsala Deshmukh, Vikram Gokhale",marathi
2301,tt0984075,Nital,2006,Drama,Story revolves around a girl having Vitiligo and her relationship with her lover or would be life-partner and his family. Film highlights the social stigma around around Vitiligo. Film is produced by Dr. Maya Tulpule (Shweta association - Vitiligo Support Group).,"Sumitra Bhave, Sunil Sukthankar","Devika Daftardar, Shekhar Kulkarni, Uttara Baokar",marathi
2302,tt0323598,Pathlaag,1964,Thriller,Balasaheb finds that his wife Asha is seriously ill.Upon his return from abroad Asha passes away in front of him.But few days later cops get hold of a Dacoit gang where the female member claims to be Asha.,Raja Paranjpe,"Ishwar Agarwal, Barchi Bahdur, Bhavana",marathi
2303,tt0251823,Malhari Martand,1965,"Drama, Family","Guláb, son of the landowner of Devgáv village in Mahárásht.ra, India, wants a wife who knows how to have fun, and finds her in Bakul.á, a clever dancer in the folk theatre. His horrified parents convince him to marry Kamal.á instead, because only respectable girls are bred to support their husbands in hardship. Cousin Bál.yá, having lost the court battle over the land, tries to make a conquest of Bakul.á, and Guláb makes a bold move to protect her. How Bakul.á asserts her dignity and Kamal.á makes peace with her fate is the subject of this serious but entertaining film.",Dinkar D. Patil,"Ganpat Patil, Raj Shekar, Suryakant",marathi
2304,tt2827320,Fandry,2013,"Drama, Family","It is about a teenager from a Dalit (Oppressed caste) family, who lives at the village fringe, and falls in love with an upper caste girl.",Nagraj Manjule,"Somnath Awghade, Rajeshwari Kharat, Suraj Pawar",marathi
2305,tt0259083,Varhadi Ani Vajantri,1973,"Comedy, Drama",Follows the hilarious situation of an inter caste marriage between the Maharashtra and the Karnataka communities and portrays the chauvinism and conservative nature of the elders.,Rajdutt,"Vikram Gokhale, Indumati, Shanta Jog",marathi
2306,tt6250240,Devta,1983,Drama,A kidnapper falls in love with his kidnappee...but can the pair make it work?,Kamalakar Torne,"Sudhir Dalvi, Dinkar Inamdar, Prakash Inamdar",marathi
2307,tt0247973,Daam Kari Kaam,1971,Drama,"Mukund Vichare is hardworking clerk but due to his low income has no respect in his family his wife is regular at kitty parties while his son and daughter also want to live a lavish life.Mukund's elder son Shantaram from his first wife as deserted himself from the family as everyone only respects money in the family his neighbor Suma develops liking for him but she is forced by her uncle to dance on stage to run the family.Mukund's elder sister Akka a widower decides to come an live with him but Mukund fears that his family wont allow her to live with them.Akka once was the richest women in the village with great respect but as time passed away she lost everything.One day all villagers suddenly gather at her door and start respecting her as she has won a lottery of two and a half Lakh but the news turns to be fake as it was the other village women.Akka looses her respect again within minutes but the story of her winning the lottery comes in newspapers and Mukund's family ask her to come to Bombay to stay with them.Upon reaching the house she finds she has been called as her brothers family has mistaken that she has won the lottery.Akka discloses everything to Mukund,she sees that he has no respect in the family and warns the other family members that if they want her to stay with them they should respect her brother.While living in the house Akka manages to change heart of Shantaram as well as give respect to her brother that he deserves from his family.",Prabhakar Manajirao Nayak,"Master Abu, Krishnakant Dalvi, Raja Dani",marathi
2308,tt2811962,Tu Tithe Mee,1998,Family,Life gets bitter when children take decisions for their aging parents.,Sanjay Soorkar,"Anand Abhyankar, Sunil Barve, Prashant Damle",marathi
2309,tt0362070,Ramshastri,1944,"Biography, History","An 18th century student given the honorific ""Shastri"" for his authority on religion, and uses his influence to speak out for honesty and justice, leading him to reject a court position for a life instead of prayer and asceticism.","Vishram Bedekar, Gajanan Jagirdar, Raja Nene","Gajanan Jagirdar, Anant Marathe, Shakuntala Paranjpye",marathi
2310,tt2321421,Mee Shivajiraje Bhosale Boltoy,2009,Drama,"Dinkar Maruti Bhosle, a common Marathi man with an identity crisis ends up being the Crusader against threats to his existance & identity as a 'Marathi Maanus'. In his battle against all odds & evils, he is assisted by Shivaji Maharaj.","Santosh Ramdas Manjrekar, Satish Padwal","Mahesh Manjrekar, Sachin Khedekar, Makarand Anaspure",marathi
2311,tt1830802,Shala,2011,Romance,"Set in the 70's in rural India, four 9th grade kids were writing their destiny. Joshi (14) is madly in love with Shirodkar (14) a beautiful Indian looking girl. Both study in the same class. The age old question ""What is love anyway?""",Sujay Dahake,"Anshuman Joshi, Ketaki Mategaonkar, Dilip Prabhawalkar",marathi
2312,tt3717068,Court,2014,Drama,"When an aging activist is arrested, the lives of the accused, the lawyers, and the judge intertwine to reveal bigotry that underscores the judicial system.",Chaitanya Tamhane,"Vira Sathidar, Vivek Gomber, Geetanjali Kulkarni",marathi
2313,tt8495130,Bhaubeej,1955,"Social, Drama",Add a plot.,Rajan Kumar,"Chandrakant, Sulochana Latkar, Leela Mehta, Suryakant",marathi
2314,tt1524539,Harishchandrachi Factory,2009,"Biography, Comedy, Drama","In 1913 India's cinema industry is born from Dadasaheb Phalke's efforts to make Raja Harishchandra (1913), India's first feature-length B&W silent film.",Paresh Mokashi,"
Nandu Madhav, Vibhawari Deshpande, Atharva Karve",marathi
2315,tt4073858,Tapaal,2014,Drama,"Set in a village in the year 1977, Tapaal dwells with sympathy, concern and understanding on the bond between a little boy and a childless couple, and the social discrimination that they face",Laxman Utekar,"
Milind Gunaji, Veena Jamkar, Urmilla Kanetkar Kothare",marathi
2316,tt0258945,Sarja,1987,History,"A Mughals Emperor orders his soldiers to March towards kingdom of Shivaji and destroy all his property and harass people in his kingdom in treaty Shivaji handovers many forts to Mughals as treaty.Gauri Dombarin lives with her daughter Kastura in Dombari fort and earns by performing stunts on streets the mother -daughter take shelter in Shivaji's kingdom after a Mugal Sardar at Dombari fort eyes Kastura with help of Rustom.Kastura meets Sarja whom she was married to in childhood but Rustom finds about their hideout and kidnaps Kastura ,Sarja frees Kastura and they both win Shivaji's heart and join his kingdom to fight against the Moguls.",Rajdutt,"Ajinkya Deo, Ramesh Deo, Seema Deo",marathi
2317,tt3121604,Duniyadari,2013,Drama,Shreyas discovers the magic of love and friendship in college days; only to be perplexed with the choices to be made,Sanjay Jadhav,"
Swapnil Joshi, Sai Tamhankar, Jitendra Joshi, Ankush Chaudhari, Urmilla Kanetkar Kothare",marathi
2318,tt5641300,Half Ticket,2016,"Drama, Family",A story of the 'Have Nots' struggling to survive in a world of 'Haves,Samit Kakkad,"
Anuya Baiche, Nitin Bodhare, Priyanka Bose, Ankush Chaudhari, Bhau Kadam",marathi
2319,tt0290565,Dharmakanya,1968,"Drama, Family",Tunga lives with her parents Shivram Master her mother and five younger siblings her family find sit difficult to have one time meal in what Shivram earns and often has fights with his wife.Even after facing such hardships Tunga is always joyful and want to do something fro her family but when Shivram wants her to get married to an older men she elopes to her uncles house.Her uncle marries her to Lakhoba by telling her he works for a rich lady but Tunga finds that Lakhoba works for a dancer Revati and he is not of good character.Lakhoba leaves Revati's job and starts searching a new job unable to finds he decides to join back Revati without knowledge of Tunga.,Madhav Shinde,"Anupama, Chandrakant Gokhale, Vasant Latkar",marathi
2320,tt0213559,Chimani Pakhre,1952,"Drama, Family","A local toddy vendor Patangrao Kurhade (Nagesh Bhonsle) had an eye on Nandini. One day, he went to her house and tried to rape her. Shekhar came to know about that and has a fight with Patangrao, and things take a bad turn. Patangrao decides to get back at Shekhar.",Datta Dharmadhikari,"
Alhaad, Baby Shakuntala, Indira Chitnis",marathi
2321,tt1815726,Gosht Choti Dongraevadhi,2009,Drama,In a suicidal debt ridden farmer village.Rajaram returns to sell his land.But his mother advises him not to do.,Nagesh Bhonsle,"
Makarand Anaspure, Nagesh Bhonsle, Madhavi Juvekar",marathi
2322,tt4203824,Elizabeth Ekadashi,2014,"Adventure, Drama, Family",Dnyanesh and Mukta's family financial condition isn't good.Their late father had made a cycle called Elizabeth which their mother plans to sell.But Dnyanesh and Mukta try all possible ways to save Elizabeth as they are very close to it.,Paresh Mokashi,"Chaitanya Badve, Durgesh Badve-Mahajan, Sayali Bandakavathekar, Nandita Dhuri",marathi
2323,tt0832466,Uttarayan,2004,Drama,"Uttarayan is a highly captivating adaptation of Jaywant Dalvi's Marathi play, ""Durgi"" . Raghuveer , a widower in his 50s has come to live with his computer engineer son Sanjay . He meets his childhood friend Babu Borkar and during their conversations they reminisce about Kusumavati a.k.a. Durgi , Raghu's first love . Raghu finds out Durgi's address and goes to meet her . Durgi is lonely after her marriage fell apart because her husband was a drunkard and a womanizer . Raghu and Durgi resume their old friendship and slowly a strong bond develops between them . Raghu thinks about asking Durgi whether she wants to marry him . But will Raghu gather enough courage to ask her? Will Durgi accept a proposal at such an old age? And finally , will Raghu's son approve of the marriage?",Bipin Nadkarni,"Shivaji Satam, Neena Kulkarni, Uttara Baokar",marathi
2324,tt3446426,Time Pass,2014,"Comedy, Fantasy, Romance","Dagdu, the son of an autorickshaw driver, falls in love with a girl named Prajakta. However, her parents oppose their relationship and leave the town with her secretly.",Ravi Jadhav,"
Prathamesh Parab, Ketaki Mategaonkar, Bhau Kadam, Vaibhav Mangale",marathi
2325,tt8495136,Shikleli Baiko,1959,"Drama, Family","An illiterate Raghunath marries an educated Kamalini upon his parents' insistence. However, his egoistic nature soon creates a rift between them.",Madhav Shinde,"Indira Chitnis, Usha Kiran, Ganpat Patil",marathi
2326,tt3817950,Hemalkasa,2014,"Biography, Drama, History","Biopic on Dr. Prakash Amte, the selfless doctor and social worker who devoted his life towards the development and upliftment of the tribal people in the forests of western Maharashtra.",Samruoddhi Porey,"Nana Patekar, Sonali Kulkarni,  Mohan Agashe",marathi
2327,tt8784906,Ani... Dr. Kashinath Ghanekar,2018,"Biography, Drama","This film is a biopic of Dr. Kashinath Ghanekar, legendary Marathi actor, journey to the peak of popularity, events that shaken his personal and professional life unto his unfortunate demise at early age.",Abhijeet Shirish Deshpande,"Subodh Bhave, Sumeet Raghavan, Sonali Kulkarni, Vaidehi Parshurami, Prasad Oak",marathi
2328,tt1206310,Kadachit,2007,"Mystery, Thriller, Drama","The relationship between Gayatri and her father, whom she accused of killing her mother. 20 years later, she feels that he might be innocent.",Chandrakant Kulkarni,"Ashwini Bhave, Sachin Khedekar, Sadashiv Amrapurkar",marathi
2329,tt0238197,Ek Gaon Barah Bhangadi,1968,"Drama, Crime","
Tekwadi village has many loopholes and irregularities conducted by its superiors.Inspector Shirke comes to investigate a missing case and joins a Tamasha troupe with dancer Phoola to conduct his investigation.",Anant Mane,"Pushpa Bhosale, Kamal Dunbale, Jayshree Gadkar",marathi
2330,tt2391492,Balak Palak,2013,"Comedy, Drama, Family",The curiosity of four adolescents leads them to develop a bond with their elderly schoolmate Vishu who introduces them to a world they were completely unaware of.,Ravi Jadhav,"Shashwati Pimplikar, Madan Deodhar, Bhagyashree Milind, ",marathi
2331,tt0252581,Kadhi Karishi Lagna Maze,1965,Drama,Add a plot.,Yeshwant Pethkar,Ramesh Deo,marathi
2332,tt1772303,Mala Aai Vhhaychy!,2011,"Drama, Family, Music","Mary visits India looking for a surrogate mother. She finds Yashoda to bear her child, but gets disappointed on learning about the child's deformity. Will Mary accept the child?",Samruoddhi Porey,"Urmilla Kanetkar Kothare, Stacy Bee, Samruoddhi Porey",marathi
2333,tt6041344,Family Katta,2016,Family,"Bhai and Malati are celebrating their golden wedding anniversary, hoping to reunite their splintered family and heal past wounds, especially regarding their daughter Manju, who eloped years ago. While their young cousins remain close, the gathering tests family tensions. Ultimately, the film conveys a heartwarming message about the importance of love and unity in overcoming the burdens of the past.",Chandrakant Kulkarni,"Vandana Gupte, Dilip Prabhawalkar, Sai Tamhankar",marathi
2334,tt7571148,Baapjanma,2017,"Social, Drama","A social drama involving a retired and widowed intelligence officer who is estranged from his married children, who suddenly becomes terminally ill and then sets out to make amends using unconventional methods, with an unexpected ending.",Nipun Dharmadhikari,"Pushkaraj Chirputkar, Sunil Godabole, Sachin Khedekar, Sharvari Lohokare",marathi
